best_relative_exact_residual,classification,condition_number,diameter,diameter_status,null_space,number_of_exact_observation_consistent_solutions,prior,prior_level,prompt_identity_unique,rank,requested_galaxy_identifiable,scene,scene_id,truth_in_prior_support
0.0,UNIDENTIFIABLE,infinity,infinity,unbounded source-pair Euclidean diameter,10800,uncountably infinite,No prior,0,False,10800,False,0,v2_r_training_00000,True
0.0,UNIDENTIFIABLE,infinity,10.0,exact inherited primary diameter,10800,uncountably infinite,Nonnegative flux,1,False,10800,False,0,v2_r_training_00000,True
0.0,UNIDENTIFIABLE,infinity,1.817387172047633,certified lower bound from prompt-consistent LP vertices,10797,uncountably infinite,Flux conservation,2,False,10797,False,0,v2_r_training_00000,True
2.3836191290108322e-08,UNIDENTIFIABLE,infinity,0.19749105993269694,certified lower bound from smooth flux-preserving exchange,10797,uncountably infinite,Smoothness,3,False,10797,False,0,v2_r_training_00000,True
5.804596486803227e-08,UNIQUE,1.6848963894156164,0.0,exact singleton,0,1,Elliptical Sersic,4,True,8,True,0,v2_r_training_00000,True
5.804596486803227e-08,UNIQUE,1.7388547775662955,0.0,exact singleton,0,1,Bulge + disk,5,True,12,True,0,v2_r_training_00000,True
5.804596486803227e-08,UNIQUE,1.7240522609630697,0.0,exact singleton,0,1,Shared color profile,6,True,8,True,0,v2_r_training_00000,True
5.804596486803227e-08,UNIQUE,1.7240522609630697,0.0,exact singleton,0,1,Weak astrophysical morphology prior,7,True,8,True,0,v2_r_training_00000,True
0.0,UNIDENTIFIABLE,infinity,infinity,unbounded source-pair Euclidean diameter,10800,uncountably infinite,No prior,0,False,10800,False,3,v2_r_training_00003,True
0.0,UNIDENTIFIABLE,infinity,10.0,exact inherited primary diameter,10800,uncountably infinite,Nonnegative flux,1,False,10800,False,3,v2_r_training_00003,True
0.0,UNIDENTIFIABLE,infinity,8.741893156023009,certified lower bound from prompt-consistent LP vertices,10797,uncountably infinite,Flux conservation,2,False,10797,False,3,v2_r_training_00003,True
2.4691147012157027e-08,UNIDENTIFIABLE,infinity,3.8587357401761864,certified lower bound from smooth flux-preserving exchange,10797,uncountably infinite,Smoothness,3,False,10797,False,3,v2_r_training_00003,True
6.05504161659983e-08,UNIQUE,1.5459499616448493,0.0,exact singleton,0,1,Elliptical Sersic,4,True,8,True,3,v2_r_training_00003,True
6.05504161659983e-08,UNIQUE,1.5666022070762113,0.0,exact singleton,0,1,Bulge + disk,5,True,12,True,3,v2_r_training_00003,True
6.05504161659983e-08,UNIQUE,1.5423965942709115,0.0,exact singleton,0,1,Shared color profile,6,True,8,True,3,v2_r_training_00003,True
6.05504161659983e-08,UNIQUE,1.5423965942709115,0.0,exact singleton,0,1,Weak astrophysical morphology prior,7,True,8,True,3,v2_r_training_00003,True
0.0,UNIDENTIFIABLE,infinity,infinity,unbounded source-pair Euclidean diameter,10800,uncountably infinite,No prior,0,False,10800,False,5,v2_r_training_00005,True
0.0,UNIDENTIFIABLE,infinity,10.0,exact inherited primary diameter,10800,uncountably infinite,Nonnegative flux,1,False,10800,False,5,v2_r_training_00005,True
0.0,UNIDENTIFIABLE,infinity,5.409678902952583,certified lower bound from prompt-consistent LP vertices,10797,uncountably infinite,Flux conservation,2,False,10797,False,5,v2_r_training_00005,True
