scene_index,scene_id,condition,source_identity,measurement_band,combination_weights_g_r_z,measured_flux_electrons,sigma_electrons,relative_sigma,frozen_noise_z,measurement_seed,catalog_sha256,latent_catalog_value_persisted,measurement_source
0,v2_r_training_00000,TOTAL_SOURCE_PHOTOMETRY,requested,total,"[1.0,1.0,1.0]",616648.7528306597,29734.600000000002,0.05,0.7384243551505555,2026071805,cc72782f8c4d8c549b85c0224db6d471e2ddeb0b9db73b103df714f59b746b46,False,authoritative_reuse_no_regeneration
0,v2_r_training_00000,TOTAL_SOURCE_PHOTOMETRY,companion,total,"[1.0,1.0,1.0]",48717.49975186511,2535.55,0.05,-0.7862200501409534,2026071805,cc72782f8c4d8c549b85c0224db6d471e2ddeb0b9db73b103df714f59b746b46,False,authoritative_reuse_no_regeneration
0,v2_r_training_00000,PER_BAND_SOURCE_PHOTOMETRY,requested,g,"[1.0,0.0,0.0]",51589.88432113856,2520.65,0.05,0.4668971579309145,2026071806,cc72782f8c4d8c549b85c0224db6d471e2ddeb0b9db73b103df714f59b746b46,False,authoritative_reuse_no_regeneration
0,v2_r_training_00000,PER_BAND_SOURCE_PHOTOMETRY,requested,r,"[0.0,1.0,0.0]",298836.8719263018,14390.650000000001,0.05,0.7660440582115324,2026071806,cc72782f8c4d8c549b85c0224db6d471e2ddeb0b9db73b103df714f59b746b46,False,authoritative_reuse_no_regeneration
0,v2_r_training_00000,PER_BAND_SOURCE_PHOTOMETRY,requested,z,"[0.0,0.0,1.0]",236343.07127201455,12823.300000000001,0.05,-1.5692472864227969,2026071806,cc72782f8c4d8c549b85c0224db6d471e2ddeb0b9db73b103df714f59b746b46,False,authoritative_reuse_no_regeneration
0,v2_r_training_00000,PER_BAND_SOURCE_PHOTOMETRY,companion,g,"[1.0,0.0,0.0]",2626.5176576825015,133.05,0.05,-0.2591683000187798,2026071806,cc72782f8c4d8c549b85c0224db6d471e2ddeb0b9db73b103df714f59b746b46,False,authoritative_reuse_no_regeneration
0,v2_r_training_00000,PER_BAND_SOURCE_PHOTOMETRY,companion,r,"[0.0,1.0,0.0]",17256.62632603312,925.75,0.05,-1.3593018352329236,2026071806,cc72782f8c4d8c549b85c0224db6d471e2ddeb0b9db73b103df714f59b746b46,False,authoritative_reuse_no_regeneration
0,v2_r_training_00000,PER_BAND_SOURCE_PHOTOMETRY,companion,z,"[0.0,0.0,1.0]",29548.79996767283,1476.75,0.05,0.009344823208280301,2026071806,cc72782f8c4d8c549b85c0224db6d471e2ddeb0b9db73b103df714f59b746b46,False,authoritative_reuse_no_regeneration
6,v2_r_training_00006,TOTAL_SOURCE_PHOTOMETRY,requested,total,"[1.0,1.0,1.0]",162809.10677881315,7461.5,0.05,1.8198896708186236,2026072405,cc72782f8c4d8c549b85c0224db6d471e2ddeb0b9db73b103df714f59b746b46,False,authoritative_reuse_no_regeneration
6,v2_r_training_00006,TOTAL_SOURCE_PHOTOMETRY,companion,total,"[1.0,1.0,1.0]",114342.13911918436,5861.05,0.05,-0.4911851768566445,2026072405,cc72782f8c4d8c549b85c0224db6d471e2ddeb0b9db73b103df714f59b746b46,False,authoritative_reuse_no_regeneration
6,v2_r_training_00006,PER_BAND_SOURCE_PHOTOMETRY,requested,g,"[1.0,0.0,0.0]",22724.275699894864,1201.9,0.05,-1.0930396040478694,2026072406,cc72782f8c4d8c549b85c0224db6d471e2ddeb0b9db73b103df714f59b746b46,False,authoritative_reuse_no_regeneration
6,v2_r_training_00006,PER_BAND_SOURCE_PHOTOMETRY,requested,r,"[0.0,1.0,0.0]",55718.95867556095,2824.6000000000004,0.05,-0.2736816980949699,2026072406,cc72782f8c4d8c549b85c0224db6d471e2ddeb0b9db73b103df714f59b746b46,False,authoritative_reuse_no_regeneration
