gate,status,detail
"preregistration_hash","PASS","be546f7f1aa2ec04f1a76f84bc5305c87521d5b89331c681dc3cdf18a5293d3b"
"synthetic_mps","PASS","MPS no fallback"
"synthetic_source_nonnegative","PASS","negative fraction exactly zero"
"synthetic_signed_residual","PASS","both signs"
"synthetic_finite_gradients","PASS","finite"
"synthetic_zero_floor","PASS","exact zero"
"synthetic_observation_isolation","PASS","sources exact"
"synthetic_requested_isolation","PASS","companion exact"
"training_source_representability","PASS","req=0.015625;comp=0.0078125;tol=0.28313296875"
"training_source_nonnegative","PASS","0"
"training_signed_residual","PASS","negative=0.5005433055555556;positive=0.49945669444444446"
"training_float32_conservation","PASS","0.015625<=2.8313296875000002"
"training_float64_conservation","PASS","3.637978807091713e-12<=0.000028313296875"
"validation_source_representability","PASS","req=0.03125;comp=0.125;tol=2.0357505"
"validation_source_nonnegative","PASS","0"
"validation_signed_residual","PASS","negative=0.5002893981481481;positive=0.49971060185185184"
"validation_float32_conservation","PASS","0.015625<=20.3608425"
"validation_float64_conservation","PASS","3.637978807091713e-12<=0.00020360842500000002"
"calibration_source_representability","PASS","req=0.5;comp=0.03125;tol=12.83203"
"calibration_source_nonnegative","PASS","0"
"calibration_signed_residual","PASS","negative=0.5003343055555556;positive=0.4996656944444444"
"calibration_float32_conservation","PASS","0.0078125<=128.32092"
"calibration_float64_conservation","PASS","7.275957614183426e-12<=0.0012832092"
